RL.R,I(AM1.nA),V(un3),
5700,0.0014002333629156009,3.9906650843094624,
5800,0.0013761467798375558,3.990825661528912,
5900,0.0013528748500767063,3.9909808077262836,
6000,0.001330376931283524,3.9911307938505716,
6100,0.0013086150403679917,3.9912758731223748,
6200,0.0012875536395033987,3.991416282460536,
6300,0.0012671594424676828,3.9915522437732007,
6400,0.0012474012391025283,3.9916839651280904,
6500,0.0012282497359430674,3.991811641814969,
6600,0.0012096774113065818,3.9919354573117203,
6700,0.001191658383332561,3.9920555841640795,
6800,0.0011741682896434986,3.9921721847878957,
6900,0.0011571841774497872,3.992285412201766,
7000,0.0011406844030562827,3.992395410696989,
7100,0.0011246485398453566,3.992502316451016,
7200,0.0011090572939138517,3.9926062580898662,
7300,0.0010938924266313448,3.992707357204409,
7400,0.001079136683466177,3.9928057288248544,
7500,0.0010647737284952947,3.992901481857355,
7600,0.0010507880840753157,3.9929947194862003,
7700,0.001037165075206421,3.9930855395447207,
7800,0.0010238907781686451,3.993174034857716,
7900,0.0010109519730526365,3.9932602935579142,
8000,0.0009983360998446849,3.99334439937874,
8100,0.000986031217759365,3.9934264319254282,
8200,0.000974025967543009,3.993506466926337,
8300,0.0009623095364978595,3.9935845764661173,
8400,0.0009508716260005376,3.9936608292022577,
8500,0.0009397024213097335,3.993735290566367,
8600,0.0009287925634770775,3.9938080229514332,
8700,0.0009181331231922279,3.9938790858861917,
8800,0.0009077155764085499,3.9939485361976197,
8900,0.0008975317816095492,3.9940164281624937,
9000,0.000887573958588635,3.9940828136488573,
9100,0.0008778346686259727,3.9941477422481757,
9200,0.0008683067959562791,3.9942112613988834,
9300,0.0008589835304305321,3.994273416501974,
9400,0.0008498583512828127,3.99433425102922,
9500,0.0008409250119209619,3.9943938066245686,
9600,0.000832177525666502,3.9944521231992094,
9700,0.0008236101523754164,3.9945092390207693,
9800,0.0008152173858769496,3.994565190797053,
9900,0.0008069939421726698,3.994620013754716,
10000,0.000798934748342645,3.9946737417132243,
10100,0.0007910349321097873,3.9947264071544257,
10200,0.0007832898120172611,3.994778041288032,
10300,0.0007756948881773386,3.9948286741132937,
10400,0.0007682458335532929,3.994878334477123,
10500,0.000760938485738837,3.9949270501288945,
10600,0.000753768839202293,3.994974847772153,
10700,0.0007467330379651255,3.9950217531134213,
10800,0.0007398273686867228,3.9950677909083034,
10900,0.0007330482541293672,3.9951129850050515,
11000,0.0007263922469792284,3.9951573583857565,
11100,0.0007198560240009587,3.995200933205321,
11200,0.0007134363805050611,3.9952437308283417,
11300,0.0007071302251086792,3.9952857718640375,
11400,0.0007009345747718142,3.995327076199341,
11500,0.0006948465500922205,3.995367663030268,
11600,0.0006888633708433897,3.995407550891661,
11700,0.0006829823517410965,3.9954467576854147,
11800,0.0006772008984249603,3.9954853007072653,
11900,0.0006715165036423916,3.99552319667223,
12000,0.0006659267436231294,3.9955604617387763,
12100,0.0006604292746333549,3.995597111531797,
12200,0.0006550218296990905,3.995633161164452,
12300,0.0006497022154892598,3.995668625258948,
12400,0.0006444683093494055,3.995703517966314,
12500,0.000639318056477637,3.9957378529852305,
12600,0.0006342494672349138,3.995771643579957,
12700,0.0006292606145822707,3.995804902597419,
12800,0.0006243496316380462,3.9958376424834956,
12900,0.0006195147093486115,3.9958698752985438,
13000,0.0006147540942664944,3.995901612732213,
13100,0.0006100660864301649,3.99593286611758,
13200,0.0006054490373400973,3.995963646444642,
13300,0.0006009013480260451,3.9959939643732003,
13400,0.0005964214672007716,3.9960238302451696,
13500,0.0005920078894957542,3.9960532540963403,
13600,0.0005876591537746501,3.9960822456676213,
13700,0.0005833738415205535,3.996110814415791,
13800,0.0005791505752933022,3.9961389695237854,
13900,0.0005749880172533141,3.9961667199105335,
14000,0.0005708848677486261,3.9961940742403823,
14100,0.0005668398639620018,3.9962210409321135,
14200,0.0005628517786151525,3.996247628167582,
14300,0.0005589194187272718,3.996273843899993,
14400,0.0005550416244252547,3.996299695861834,
14500,0.0005512172678031004,3.9963251915724785,
14600,0.0005474452518281476,3.996350338345477,
14700,0.000543724509291912,3.996375143295553,
14800,0.0005400540018034208,3.9963996133453135,
14900,0.0005364327188230453,3.9964237552316884,
15000,0.0005328596767349489,3.996447575512117,
15100,0.0005293339179563556,3.996471080570484,
15200,0.0005258545100819507,3.9964942766228257,
15300,0.0005224205450618049,3.9965171697228072,
15400,0.0005190311384112978,3.996539765766993,
15500,0.0005156854284516012,3.9965620704999094,
15600,0.0005123825755793476,3.996584089518911,
15700,0.0005091217615641868,3.996605828278867,
15800,0.0005059021888729956,3.9966272920966652,
15900,0.0005027230800195656,3.996648486155547,
16000,0.00049958367693866,3.9966694155092797,
16100,0.0004964832403833761,3.9966900850861773,
16200,0.0004934210493448105,3.996710499692965,
16300,0.0004903964004930685,3.996730664018509,
16400,0.00048740860763870795,3.996750582637405,
16500,0.00048445700121375033,3.9967702600134403,
16600,0.00048154092777143685,3.996789700502926,
16700,0.00047865974950394186,3.996808908357915,
16800,0.00047581284377729753,3.996827887729299,
16900,0.00047299960268281705,3.996846642669804,
17000,0.0004702194326043377,3.99686517713687,
17100,0.00046747175380063623,3.9968834949954397,
17200,0.0004647560000024001,3.9969016000206405,
17300,0.0004620716180231656,3.9969194959003826,
17400,0.0004594180673836622,3.9969371862378615,
17500,0.0004567948199490258,3.996954674553976,
17600,0.000454201359578371,3.996971964289665,
17700,0.0004516371817862333,3.996989058808165,
17800,0.0004491017934154148,3.9970059613971913,
17900,0.000446594712320787,3.997022675271044,
18000,0.0004441154670636276,3.997039203572648,
18100,0.00044166359661607985,3.997055549375523,
18200,0.00043923865007535016,3.9970717156856868,
18300,0.00043684018638726784,3.9970877054435006,
18400,0.0004344677740788534,3.9971035215254513,
18500,0.0004321209909995541,3.9971191667458754,
18600,0.0004297994240708205,3.997134643858631,
18700,0.0004275026690437122,3.9971499555587093,
18800,0.00042523033026423455,3.9971651044838046,
18900,0.0004229820204461191,3.9971800932158255,
19000,0.00042075736045077503,3.9971949242823626,
19100,0.0004185559790741475,3.9972096001581088,
19200,0.00041637751284023317,3.997224123266238,
