RL.R,I(AM1.nA),V(un3),
0,0.006,1.2000000000000002e-17,
100,0.005581395089237438,0.2790697544618719,
200,0.005217390850661665,0.5217390850661665,
300,0.004897958583923439,0.7346937875885158,
400,0.004615383905325553,0.9230767810651106,
500,0.004363635570248078,1.0909088925620196,
600,0.004137930178359273,1.241379053507782,
700,0.003934425326525335,1.3770488642838672,
800,0.0037499990625002345,1.4999996250000938,
900,0.0035820885898866475,1.6119398654489914,
1000,0.0034285704489798717,1.7142852244899358,
1100,0.0032876702420719817,1.80821863313959,
1200,0.0031578937396125033,1.894736243767502,
1300,0.003037973683704864,1.9746828944081614,
1400,0.0029268282688879083,2.0487797882215357,
1500,0.0028235284152252653,2.117646311418949,
1600,0.002727271735537551,2.1818173884300407,
1700,0.002637361651974767,2.241757404178552,
1800,0.0025531905115440596,2.2978714603896533,
1900,0.0024742258348393635,2.3505145430973955,
2000,0.002399999040000384,2.399999040000384,
2100,0.002330096137242352,2.4466009441044694,
2200,0.002264150003560376,2.4905650039164136,
2300,0.002201833933171001,2.5321090231466505,
2400,0.0021428562244901897,2.5714274693882273,
2500,0.002086955614367124,2.6086945179589054,
2600,0.002033897408790972,2.644066631428264,
2700,0.001983470189195122,2.677684755413415,
2800,0.0019354829968786466,2.709676195630105,
2900,0.001889762916486227,2.7401562289050294,
3000,0.0018461529940832335,2.7692294911248503,
3100,0.0018045104369951346,2.7969911773424587,
3200,0.001764705051903505,2.8235280830456078,
3300,0.0017266178852030185,2.8489195105849805,
3400,0.0016901400357075885,2.8732380607029007,
3500,0.0016551716147447377,2.896550325803291,
3600,0.0016216208327250003,2.9189174989050004,
3700,0.00158940319459711,2.9403959100046535,
3800,0.0015584407893409092,2.9610374997477273,
3900,0.0015286616609196844,2.9808902387933847,
4000,0.0014999992500003751,2.99999850000075,
4100,0.0014723918973243216,3.018403389514859,
4200,0.0014457824009293874,3.0361430419517137,
4300,0.0014201176205318618,3.0532528841435025,
4400,0.0013953481233102624,3.0697658712825775,
4500,0.0013714278661228119,3.085712698776326,
4600,0.0013483139098602263,3.1011219926785207,
4700,0.0013259661622054184,3.1160204811827334,
4800,0.0013043471455580111,3.1304331493392263,
4900,0.001283421787297673,3.1443833788792985,
5000,0.0012631572299172476,3.1578930747931184,
5100,0.0012435226588636725,3.170982780102365,
5200,0.0012244891461894326,3.1836717800925247,
5300,0.0012060295083460909,3.195978197117141,
5400,0.0011881181766496877,3.207919076954157,
5500,0.0011707310791199087,3.2195104675797492,
5600,0.0011538455325447133,3.230767491125197,
5700,0.0011374401437527185,3.241704409695248,
5800,0.0011214947191897783,3.252334685650357,
5900,0.0011059901819961222,3.2626710368885607,
6000,0.0010909084958680931,3.2727254876042795,
6100,0.0010762325950655757,3.282509414950006,
6200,0.0010619463199940545,3.292033591981569,
6300,0.0010480343578500913,3.301308227227788,
6400,0.0010344821878718964,3.310343001190068,
6500,0.0010212760307834723,3.319147100046285,
6600,0.0010084028020623114,3.3277292468056276,
6700,0.0009958500686974721,3.3360977301365318,
6800,0.0009836060091376342,3.3442604310679567,
6900,0.0009716593761579194,3.352224847744822,
7000,0.0009599994624003011,3.3599981184010534,
7100,0.000948616068365685,3.3675870426981813,
7200,0.0009374994726565467,3.374998101563568,
7300,0.0009266404042876484,3.382237475649917,
7400,0.0009160300168990744,3.389311062526575,
7500,0.0009056598647208314,3.396224492703117,
7600,0.0008955218801517694,3.402983144576724,
7700,0.0008856083528277257,3.409592158386744,
7800,0.0008759119100647519,3.4160564492525327,
7900,0.0008664254985731813,3.422380719364066,
8000,0.0008571423673472187,3.4285694693888744,
8100,0.0008480560516428256,3.4346270091534437,
8200,0.0008391603579639905,3.4405574676523614,
8300,0.0008304493499841103,3.4463648024340583,
8400,0.0008219173353352317,3.452052808407973,
8500,0.0008135588532033728,3.4576251261143343,
8600,0.0008053686626731209,3.4630852494944198,
8700,0.0007973417317692314,3.468436533196157,
8800,0.000789473227147079,3.473682199447148,
8900,0.0007817585043875773,3.4788253445247186,
9000,0.00077419309885562,3.48386894485029,
9100,0.0007667727170842347,3.488815862733268,
9200,0.0007594932286495125,3.493668851787757,
9300,0.0007523506585040047,3.4984305620436222,
9400,0.00074534117973869,3.5031035447718435,
9500,0.0007384611067458146,3.507690257042619,
9600,0.0007317068887569432,3.512193066033327,
9700,0.0007250751037324166,3.51661425310222,
9800,0.0007185624525801177,3.5209560176425763,
9900,0.000712165753683029,3.5252204807309937,
10000,0.0007058819377165072,3.529409688582536,
10100,0.0006997080427375375,3.5335256158245643,
10200,0.0006936412095294602,3.537570168600247,
10300,0.000687678677186798,3.5415451875120096,
10400,0.0006818177789258579,3.545452450414461,
10500,0.000676055938107755,3.549293675065713,
10600,0.0006703906644613942,3.5530705216453895,
10700,0.0006648195504947817,3.5567845951470822,
10800,0.0006593402680837969,3.560437447652504,
10900,0.0006539505652282746,3.5640305804940966,
11000,0.0006486482629658977,3.5675654463124373,
11100,0.0006434312524350187,3.5710434510143534,
11200,0.0006382974920780898,3.574465955637303,
11300,0.0006332450049779126,3.577834278125206,
11400,0.0006282718763194037,3.581149695020601,
11500,0.0006233762509700319,3.5844134430776835,
11600,0.000618556331172503,3.5876267208005173,
11700,0.0006138103743436634,3.590790689910431,
11800,0.0006091366909739618,3.5939064767463744,
11900,0.0006045336426221487,3.596975173601785,
12000,0.000599999640000216,3.599997840001296,
12100,0.0005955331411438707,3.6029755039204168,
12200,0.0005911326496641218,3.6059091629511433,
12300,0.0005867967130758156,3.608799785416266,
12400,0.000582523921199193,3.611648311434997,
12500,0.0005783129046307804,3.614455653942377,
12600,0.0005741623332801244,3.617222699664784,
12700,0.0005700709149690917,3.6199503100537322,
12800,0.00056603739409063,3.622639322180032,
12900,0.0005620605503240704,3.6252905495902534,
13000,0.0005581391974042062,3.6279047831273403,
13100,0.0005542721819415435,3.63048279171711,
13200,0.0005504583822912547,3.6330253231222813,
13300,0.0005466967074685098,3.6355331046655905,
13400,0.0005429860961079779,3.638006843923452,
13500,0.0005393255154654175,3.640447229391569,
13600,0.0005357139604593811,3.6428549311237917,
13700,0.0005321504527511662,3.6452306013454883,
13800,0.0005286340398612445,3.647574875042587,
13900,0.0005251637943204927,3.6498883705274245,
14000,0.0005217388128546357,3.6521716899824495,
