P1.K,I(i_C.nA),V(Q1.nC),
0.05,0.0016377335883439635,12.534488238417353,
0.051,0.0016374279771653327,12.518336301917966,
0.052,0.0016371224382251595,12.502188113356507,
0.053,0.0016368169701876506,12.486043672108181,
0.054,0.0016365115730153019,12.469902976189228,
0.055,0.001636206246670597,12.453766023616879,
0.056,0.001635900991116039,12.437632812409333,
0.057,0.0016355958063141486,12.42150334058575,
0.058,0.0016352906922274641,12.405377606166255,
0.059,0.001634985648818543,12.389255607171933,
0.06,0.0016346806760499603,12.373137341624833,
0.061,0.00163437577388431,12.357022807547962,
0.062,0.001634070942284203,12.340912002965288,
0.063,0.0016337661812122694,12.324804925901738,
0.064,0.0016334614906311571,12.308701574383198,
0.065,0.0016331568705035323,12.292601946436507,
0.066,0.0016328523207920784,12.276506040089467,
0.067,0.0016325478414594985,12.26041385337083,
0.068,0.001632243432468512,12.244325384310304,
0.069,0.0016319390937818577,12.228240630938554,
0.07,0.0016316348253622918,12.212159591287195,
0.071,0.0016313306271725884,12.196082263388798,
0.072,0.0016310264991755404,12.18000864527688,
0.073,0.0016307224413339577,12.163938734985914,
0.074,0.0016304184536106686,12.14787253055132,
0.075,0.0016301145359685196,12.131810030009468,
0.076,0.0016298106883703748,12.11575123139768,
0.077,0.0016295069107791162,12.099696132754216,
0.078,0.0016292032031576442,12.083644732118293,
0.079,0.0016288995654688764,12.06759702753007,
0.08,0.0016285959976757491,12.05155301703065,
0.081,0.0016282924997412158,12.035512698662084,
0.082,0.0016279890716282476,12.019476070467359,
0.083,0.0016276857132998346,12.003443130490414,
0.084,0.0016273824247189834,11.987413876776126,
0.085,0.0016270792058487198,11.97138830737031,
0.086,0.0016267760566520862,11.955366420319729,
0.087,0.001626472977092143,11.939348213672078,
0.088,0.001626169967131969,11.923333685475992,
0.089,0.0016258670267346596,11.907322833781048,
0.09,0.00162556415586333,11.89131565663776,
0.091,0.0016252613544811103,11.875312152097575,
0.092,0.0016249586225511505,11.859312318212874,
0.093,0.0016246559600366175,11.84331615303698,
0.094,0.001624353366900696,11.827323654624145,
0.095,0.001624050843106588,11.811334821029552,
0.096,0.0016237483886175138,11.795349650309324,
0.097,0.0016234460033967106,11.77936814052051,
0.098,0.0016231436874074338,11.76339028972109,
0.099,0.0016228414406129564,11.747416095969974,
0.1,0.0016225392629765681,11.731445557327007,
0.101,0.0016222371544615773,11.715478671852955,
0.102,0.0016219351150313095,11.699515437609515,
0.103,0.0016216331446491073,11.68355585265931,
0.104,0.0016213312432783317,11.66759991506589,
0.105,0.0016210294108823606,11.651647622893732,
0.106,0.0016207276474245894,11.635698974208232,
0.107,0.0016204259528684315,11.619753967075717,
0.108,0.0016201243271773168,11.603812599563433,
0.109,0.0016198227703146937,11.587874869739546,
0.11,0.0016195212822440273,11.571940775673148,
0.111,0.0016192198629288005,11.556010315434252,
0.112,0.0016189185123325134,11.540083487093785,
0.113,0.001618617230418684,11.524160288723596,
0.114,0.0016183160171508468,11.508240718396458,
0.115,0.0016180148724925542,11.492324774186052,
0.116,0.0016177137964073756,11.476412454166985,
0.117,0.0016174127888588987,11.460503756414768,
0.118,0.001617111849810727,11.44459867900584,
0.119,0.0016168109792264829,11.428697220017547,
0.12,0.0016165101770698048,11.412799377528149,
0.121,0.001616209443304349,11.396905149616824,
0.122,0.0016159087778937885,11.381014534363656,
0.123,0.0016156081808018146,11.365127529849643,
0.124,0.0016153076519921353,11.349244134156693,
0.125,0.001615007191428475,11.333364345367624,
0.126,0.0016147067990745763,11.317488161566164,
0.127,0.001614406474894199,11.301615580836947,
0.128,0.0016141062188511194,11.285746601265515,
0.129,0.0016138060309091316,11.269881220938318,
0.13,0.0016135059110320461,11.254019437942711,
0.131,0.0016132058591836916,11.238161250366955,
0.132,0.0016129058753279128,11.222306656300214,
0.133,0.0016126059594285722,11.206455653832554,
0.134,0.0016123061114495492,11.19060824105495,
0.135,0.00161200633135474,11.174764416059272,
0.136,0.0016117066191080585,11.158924176938294,
0.137,0.0016114069746734347,11.143087521785692,
0.138,0.0016111073980148167,11.127254448696041,
0.139,0.0016108078890961688,11.111424955764814,
0.14,0.0016105084478814724,11.09559904108838,
0.141,0.0016102090743347263,11.079776702764013,
0.142,0.001609909768419946,11.063957938889875,
0.143,0.0016096105301011637,11.048142747565029,
0.144,0.001609311359342429,11.03233112688943,
0.145,0.0016090122561078083,11.016523074963931,
0.146,0.0016087132203613846,11.000718589890278,
0.147,0.0016084142520672582,10.984917669771106,
0.148,0.001608115351189546,10.969120312709943,
0.149,0.0016078165176923818,10.953326516811215,
0.15,0.0016075177515399164,10.93753628018023,
0.151,0.0016072190526963172,10.921749600923192,
0.152,0.001606920421125769,10.90596647714719,
0.153,0.0016066218567924724,10.890186906960201,
0.154,0.0016063233596606457,10.874410888471095,
0.155,0.0016060249296945234,10.85863841978962,
0.156,0.0016057265668583574,10.84286949902642,
0.157,0.0016054282711164157,10.827104124293019,
0.158,0.0016051300424329833,10.811342293701822,
0.159,0.001604831880772362,10.795584005366125,
0.16,0.0016045337860988705,10.7798292574001,
0.161,0.0016042357583768432,10.76407804791881,
0.162,0.0016039377975706325,10.748330375038188,
0.163,0.0016036399036446066,10.73258623687506,
