RL.R,I(AM1.nA),V(un3),
0,0.00006000000000000001,1.2000000000000004e-19,
100,0.00005995503072920157,0.0029977515364600785,
200,0.000059910128815763483,0.005991012881576348,
300,0.00005986529410846185,0.008979794116269278,
400,0.00005982052645652514,0.011964105291305028,
500,0.00005977582570963246,0.014943956427408115,
600,0.00005973119171791189,0.017919357515373567,
700,0.00005968662433193881,0.020890318516178584,
800,0.00005964212340273424,0.023856849361093696,
900,0.00005959768878176316,0.026818959951793418,
1000,0.000059553320320932855,0.029776660160466425,
1100,0.0000595090178725913,0.032729959829925215,
1200,0.000059464781289525506,0.0356788687737153,
1300,0.00005942061042495987,0.038623396776223916,
1400,0.000059376505132554595,0.04156355359278822,
1500,0.00005933246526640401,0.04449934894980301,
1600,0.00005928849068103504,0.047430792544828036,
1700,0.00005924458123140554,0.05035789404669471,
1800,0.00005920073677290273,0.053280663095612454,
1900,0.00005915695716134159,0.05619910930327451,
2000,0.0000591132422529633,0.059113242252963306,
2100,0.000059069591904433676,0.062023071499655365,
2200,0.00005902600597284155,0.06492860657012571,
2300,0.000058982484315697266,0.06782985696305185,
2400,0.0000589390267909311,0.07072683214911732,
2500,0.00005889563325689172,0.07361954157111464,
2600,0.00005885230357234464,0.07650799464404803,
2700,0.00005880903759647072,0.07939220075523548,
2800,0.000058765835188864584,0.08227216926441042,
2900,0.00005872269620953316,0.08514790950382309,
3000,0.00005867962051889411,0.08801943077834117,
3100,0.000058636607977774386,0.0908867423655503,
3200,0.000058593658447408684,0.0937498535158539,
3300,0.00005855077178943797,0.09660877345257264,
3400,0.00005850794786590798,0.09946351137204358,
3500,0.00005846518653926779,0.10231407644371862,
3600,0.00005842248767236826,0.10516047781026286,
3700,0.000058379851128460636,0.10800272458765219,
3800,0.00005833727677119508,0.11084082586527066,
3900,0.00005829476446461919,0.11367479070600742,
4000,0.00005825231407317656,0.11650462814635312,
4100,0.00005820992546170537,0.11933034719649602,
4200,0.000058167598495436906,0.1221519568404175,
4300,0.00005812533303999416,0.12496946603598744,
4400,0.00005808312896139041,0.12778288371505891,
4500,0.000058040986126027786,0.1305922187835625,
4600,0.00005799890440069588,0.13339748012160052,
4700,0.00005795688365257032,0.13619867658354026,
4800,0.0000579149237492114,0.13899581699810734,
4900,0.00005787302455856266,0.14178891016847853,
5000,0.000057831185948949525,0.14457796487237382,
5100,0.000057789407789077915,0.14736298986214869,
5200,0.000057747689948032864,0.15014399386488544,
5300,0.000057706032295277156,0.1529209855824845,
5400,0.00005766443470064999,0.15569397369175497,
5500,0.00005762289703436558,0.15846296684450537,
5600,0.00005758141916701184,0.16122797366763317,
5700,0.00005754000096954902,0.16398900276321474,
5800,0.00005749864231330839,0.16674606270859432,
