P1.K,I(i_C.nA),V(Q1.nC),
0.05,0.00472693513082694,9.298549475929361,
0.051,0.004725904437646014,9.28038051974731,
0.052,0.00472487434963866,9.262222231504149,
0.053,0.004723844866386778,9.244074603829906,
0.054,0.004722815987472752,9.225937629362859,
0.055,0.004721787712479432,9.207811300749533,
0.056,0.004720760040990135,9.189695610644705,
0.057,0.004719732972588647,9.171590551711374,
0.058,0.004718706506859219,9.153496116620774,
0.059,0.004717680643386568,9.13541229805234,
0.06,0.004716655381755879,9.117339088693726,
0.061,0.004715630721552798,9.099276481240768,
0.062,0.004714606662363438,9.08122446839749,
0.063,0.004713583203774374,9.063183042876092,
0.064,0.004712560345372645,9.045152197396938,
0.065,0.004711538086745752,9.027131924688549,
0.066,0.004710516427481661,9.009122217487587,
0.067,0.004709495367168795,8.991123068538853,
0.068,0.00470847490539604,8.973134470595275,
0.069,0.004707455041752745,8.955156416417896,
0.07,0.004706435775828714,8.937188898775867,
0.071,0.004705417107214215,8.919231910446436,
0.072,0.004704399035499971,8.901285444214938,
0.073,0.0047033815602771645,8.883349492874785,
0.074,0.004702364681137438,8.865424049227464,
0.075,0.004701348397672889,8.84750910608251,
0.076,0.0047003327094760705,8.82960465625752,
0.077,0.004699317616139995,8.811710692578117,
0.078,0.004698303117258126,8.793827207877971,
0.079,0.004697289212424387,8.77595419499876,
0.08,0.004696275901233154,8.758091646790179,
0.081,0.0046952631832792545,8.740239556109925,
0.082,0.004694251058157972,8.722397915823686,
0.083,0.004693239525465043,8.704566718805133,
0.084,0.004692228584796656,8.686745957935914,
0.085,0.00469121823574945,8.668935626105638,
0.086,0.004690208477920517,8.651135716211872,
0.087,0.004689199310907399,8.633346221160126,
0.088,0.0046881907343080875,8.615567133863848,
0.089,0.0046871827477210255,8.597798447244411,
0.09,0.004686175350745103,8.580040154231114,
0.091,0.004685168542979661,8.56229224776115,
0.092,0.0046841623240244865,8.54455472077962,
0.093,0.004683156693479814,8.52682756623952,
0.094,0.004682151650946329,8.509110777101716,
0.095,0.004681147196025157,8.49140434633495,
0.096,0.004680143328317875,8.473708266915828,
0.097,0.004679140047426504,8.456022531828808,
0.098,0.004678137352953507,8.438347134066184,
0.099,0.004677135244501796,8.420682066628101,
0.1,0.004676133721674724,8.403027322522515,
0.101,0.004675132784076089,8.385382894765204,
0.102,0.004674132431310131,8.367748776379754,
0.103,0.004673132662981531,8.350124960397544,
0.104,0.004672133478695415,8.332511439857747,
0.105,0.004671134878057349,8.314908207807314,
0.106,0.0046701368606733365,8.297315257300966,
0.107,0.004669139426149828,8.27973258140119,
0.108,0.004668142574093708,8.26216017317822,
0.109,0.004667146304112303,8.244598025710033,
0.11,0.004666150615813377,8.227046132082348,
0.111,0.004665155508805133,8.209504485388605,
0.112,0.004664160982696213,8.191973078729959,
0.113,0.004663167037095694,8.174451905215271,
0.114,0.00466217367161309,8.156940957961112,
0.115,0.004661180885858353,8.139440230091727,
0.116,0.004660188679441869,8.121949714739056,
0.117,0.00465919705197446,8.104469405042702,
0.118,0.004658206003067382,8.08699929414993,
0.119,0.004657215532332326,8.069539375215667,
0.12,0.004656225639381416,8.05208964140248,
0.121,0.004655236323827211,8.034650085880571,
0.122,0.004654247585282699,8.017220701827776,
0.123,0.004653259423361305,7.9998014824295405,
0.124,0.004652271837676882,7.982392420878929,
0.125,0.004651284827843715,7.9649935103766,
0.126,0.004650298393476521,7.94760474413081,
0.127,0.004649312534190445,7.930226115357396,
0.128,0.0046483272496010645,7.912857617279769,
0.129,0.004647342539324384,7.895499243128907,
0.13,0.004646358402976837,7.878150986143348,
0.131,0.004645374840175287,7.8608128395691725,
0.132,0.004644391850537022,7.843484796660009,
0.133,0.004643409433679761,7.826166850677008,
0.134,0.004642427589221646,7.808858994888851,
0.135,0.0046414463167812475,7.791561222571729,
0.136,0.004640465615977563,7.7742735270093375,
0.137,0.004639485486430012,7.756995901492872,
0.138,0.004638505927758441,7.739728339321014,
0.139,0.00463752693958312,7.722470833799926,
0.14,0.004636548521524743,7.705223378243236,
0.141,0.004635570673204428,7.687985965972041,
0.142,0.004634593394243714,7.670758590314888,
0.143,0.004633616684264564,7.653541244607772,
0.144,0.004632640542889362,7.636333922194119,
0.145,0.004631664969740916,7.61913661642479,
0.146,0.00463068996444245,7.601949320658061,
0.147,0.004629715526617611,7.584772028259621,
0.148,0.004628741655890468,7.56760473260256,
0.149,0.004627768351885507,7.550447427067364,
0.15,0.004626795614227632,7.533300105041905,
0.151,0.004625823442542168,7.516162759921429,
0.152,0.004624851836454857,7.499035385108557,
0.153,0.004623880795591858,7.481917974013261,
0.154,0.004622910319579749,7.464810520052875,
0.155,0.004621940408045522,7.447713016652071,
0.156,0.004620971060616585,7.430625457242858,
0.157,0.0046200022769207665,7.4135478352645725,
0.158,0.0046190340565863035,7.396480144163865,
0.159,0.004618066399241852,7.3794223773947065,
0.16,0.004617099304516482,7.362374528418356,
0.161,0.004616132772039674,7.345336590703381,
0.162,0.004615166801441326,7.328308557725621,
0.163,0.004614201392351747,7.311290422968202,
0.164,0.004613236544401656,7.294282179921516,
0.165,0.004612272257222189,7.277283822083215,
0.166,0.004611308530444889,7.260295342958201,
0.167,0.004610345363701712,7.243316736058625,
0.168,0.004609382756625024,7.226347994903872,
0.169,0.004608420708847601,7.2093891130205545,
0.17,0.004607459220002628,7.192440083942504,
0.171,0.0046064982897237,7.175500901210767,
0.172,0.004605537917644822,7.158571558373586,
