P1.K,I(i_C.nA),V(Q1.nC),
0.05,0.0075944720509128335,6.294804415931384,
0.051,0.0075925944107886525,6.274945479849612,
0.052,0.007590718366889361,6.25510342630441,
0.053,0.007588843917877376,6.235278241148777,
0.054,0.0075869710624171735,6.21546991025748,
0.055,0.007585099799175283,6.19567841952702,
0.056,0.007583230126820286,6.17590375487561,
0.057,0.007581362044022816,6.156145902243122,
0.058,0.007579495549455549,6.136404847591081,
0.059,0.007577630641793205,6.116680576902603,
0.06,0.0075757673197125435,6.096973076182393,
0.061,0.007573905581892362,6.077282331456688,
0.062,0.007572045427013491,6.05760832877324,
0.063,0.007570186853758791,6.037951054201274,
0.064,0.007568329860813151,6.018310493831466,
0.065,0.007566474446863485,5.998686633775902,
0.066,0.007564620610598728,5.979079460168053,
0.067,0.007562768350709832,5.9594889591627345,
0.068,0.007560917665889768,5.939915116936084,
0.069,0.007559068554833517,5.920357919685527,
0.07,0.007557221016238072,5.9008173536297415,
0.071,0.00755537504880243,5.881293405008629,
0.072,0.007553530651227591,5.861786060083282,
0.073,0.007551687822216561,5.8422953051359565,
0.074,0.007549846560474338,5.822821126470033,
0.075,0.007548006864707918,5.803363510409994,
0.076,0.007546168733626287,5.783922443301389,
0.077,0.007544332165940421,5.764497911510796,
0.078,0.007542497160363282,5.745089901425805,
0.079,0.007540663715609815,5.725698399454979,
0.08,0.007538831830396944,5.7063233920278185,
0.081,0.0075370015034435705,5.686964865594739,
0.082,0.007535172733470572,5.667622806627034,
0.083,0.007533345519200795,5.6482972016168524,
0.084,0.007531519859359056,5.628988037077156,
0.085,0.007529695752672136,5.609695299541701,
0.086,0.0075278731978687796,5.590418975564999,
0.087,0.00752605219367969,5.5711590517222875,
0.088,0.007524232738837531,5.551915514609504,
0.089,0.007522414832076913,5.532688350843252,
0.09,0.007520598472134404,5.513477547060774,
0.091,0.007518783657748521,5.494283089919916,
0.092,0.00751697038765972,5.4751049660991,
0.093,0.007515158660610405,5.4559431622973005,
0.094,0.007513348475344919,5.436797665233998,
0.095,0.007511539830609541,5.417668461649168,
0.096,0.007509732725152483,5.39855553830324,
0.097,0.007507927157723892,5.379458881977068,
0.098,0.007506123127075839,5.360378479471904,
0.099,0.0075043206319623254,5.3413143176093705,
0.1,0.007502519671139271,5.322266383231423,
0.101,0.007500720243364518,5.303234663200328,
0.102,0.007498922347397827,5.284219144398631,
0.103,0.0074971259820008716,5.265219813729121,
0.104,0.007495331145937235,5.246236658114813,
0.105,0.007493537837972414,5.227269664498912,
0.106,0.007491746056873809,5.208318819844779,
0.107,0.007489955801410724,5.189384111135913,
0.108,0.007488167070354363,5.170465525375917,
0.109,0.007486379862477831,5.151563049588459,
0.11,0.0074845941765561246,5.132676670817261,
0.111,0.007482810011366134,5.113806376126059,
0.112,0.007481027365686641,5.094952152598571,
0.113,0.007479246238298313,5.076113987338479,
0.114,0.007477466627983701,5.057291867469395,
0.115,0.0074756885335272374,5.038485780134827,
0.116,0.007473911953715237,5.019695712498161,
0.117,0.007472136887335887,5.0009216517426225,
0.118,0.007470363333179249,4.982163585071254,
0.119,0.0074685912900372565,4.963421499706886,
0.12,0.00746682075670371,4.944695382892107,
0.121,0.007465051731974277,4.925985221889235,
0.122,0.007463284214646486,4.907291003980291,
0.123,0.0074615182035197266,4.888612716466968,
0.124,0.007459753697395246,4.869950346670609,
0.125,0.007457990695076145,4.851303881932169,
0.126,0.007456229195367379,4.8326733096122,
0.127,0.007454469197075752,4.814058617090809,
0.128,0.007452710699009912,4.79545979176764,
0.129,0.007450953699980356,4.776876821061845,
0.13,0.007449198198799419,4.75830969241205,
0.131,0.007447444194281278,4.739758393276336,
0.132,0.007445691685241944,4.721222911132206,
0.133,0.0074439406704992625,4.702703233476555,
0.134,0.0074421911488729104,4.684199347825653,
0.135,0.007440443119184394,4.665711241715105,
0.136,0.007438696580257044,4.64723890269983,
0.137,0.007436951530916017,4.628782318354036,
0.138,0.007435207969988287,4.610341476271187,
0.139,0.00743346589630265,4.591916364063981,
0.14,0.007431725308689715,4.573506969364315,
0.141,0.007429986205981908,4.555113279823271,
0.142,0.007428248587013459,4.536735283111074,
0.143,0.007426512450620412,4.518372966917079,
0.144,0.007424777795640615,4.500026318949731,
0.145,0.007423044620913717,4.481695326936548,
0.146,0.0074213129252811705,4.463379978624092,
0.147,0.007419582707586223,4.445080261777938,
0.148,0.007417853966673921,4.426796164182651,
0.149,0.0074161267013911,4.4085276736417605,
0.15,0.007414400910586388,4.390274777977732,
0.151,0.0074126765931102016,4.372037465031937,
0.152,0.00741095374781474,4.3538157226646375,
0.153,0.007409232373553989,4.335609538754944,
0.154,0.007407512469183712,4.317418901200804,
0.155,0.007405794033561451,4.299243797918964,
0.156,0.007404077065546523,4.281084216844956,
0.157,0.007402361564000021,4.262940145933058,
0.158,0.0074006475277848035,4.244811573156272,
0.159,0.007398934955765502,4.226698486506309,
0.16,0.007397223846808509,4.208600873993541,
0.161,0.007395514199781985,4.190518723647003,
0.162,0.007393806013555847,4.172452023514337,
0.163,0.007392099287001771,4.154400761661792,
0.164,0.007390394018993191,4.136364926174184,
0.165,0.007388690208405295,4.118344505154874,
0.166,0.007386987854115016,4.100339486725739,
0.167,0.007385286955001041,4.082349859027155,
0.168,0.007383587509943805,4.064375610217962,
0.169,0.007381889517825479,4.046416728475447,
0.17,0.007380192977529982,4.028473201995308,
0.171,0.0073784978879429695,4.010545018991641,
0.172,0.007376804247951834,3.9926321676969043,
0.173,0.007375112056445702,3.974734636361899,
0.174,0.00737342131231543,3.9568524132557434,
0.175,0.007371732014453608,3.938985486665843,
0.176,0.00737004416175455,3.9211338448978754,
0.177,0.007368357753114294,3.9032974762757515,
0.178,0.007366672787430602,3.8854763691416068,
0.179,0.007364989263602957,3.867670511855761,
0.18,0.007363307180532556,3.8498798927967006,
0.181,0.007361626537122314,3.832104500361055,
0.182,0.007359947332276859,3.814344322963574,
0.183,0.007358269564902528,3.7965993490370886,
0.184,0.007356593233907368,3.778869567032511,
0.185,0.007354918338201129,3.7611549654187835,
0.186,0.0073532448766952686,3.743455532682875,
0.187,0.0073515728483029424,3.7257712573297423,
0.188,0.007349902251939006,3.708102127882316,
0.189,0.0073482330865200125,3.690448132881467,
0.19,0.007346565350964209,3.672809260885992,
0.191,0.0073448990441915335,3.655185500472579,
0.192,0.007343234165123615,3.637576840235793,
0.193,0.00734157071268377,3.6199832687880398,
0.194,0.007339908685797,3.602404774759558,
0.195,0.007338248083389988,3.5848413467983766,
0.196,0.007336588904391099,3.5672929735703067,
0.197,0.0073349311477303785,3.5497596437589114,
0.198,0.007333274812339545,3.5322413460654776,
0.199,0.007331619897151991,3.514738069209,
0.2,0.007329966401102783,3.4972498019261473,
0.201,0.007328314323128654,3.479776532971254,
0.202,0.007326663662168007,3.462318251116283,
0.203,0.007325014417160909,3.4448749451508047,
0.204,0.007323366587049087,3.4274466038819753,
0.205,0.007321720170775933,3.4100332161345146,
0.206,0.007320075167286493,3.3926347707506843,
0.207,0.007318431575527474,3.3752512565902557,
0.208,0.007316789394447232,3.3578826625304927,
0.209,0.007315148622995775,3.340528977466131,
0.21,0.007313509260124766,3.3231901903093504,
0.211,0.007311871304787508,3.3058662899897513,
0.212,0.0073102347559389535,3.288557265454332,
0.213,0.007308599612535696,3.271263105667472,
0.214,0.007306965873535971,3.2539837996108965,
0.215,0.007305333537899652,3.2367193362836675,
0.216,0.007303702604588247,3.219469704702148,
0.217,0.007302073072564902,3.2022348938999863,
0.218,0.007300444940794392,3.1850148929280926,
0.219,0.007298818208243122,3.1678096908546163,
0.22,0.007297192873879125,3.1506192767649197,
0.221,0.007295568936672062,3.1334436397615613,
0.222,0.0072939463955932135,3.1162827689642647,
0.223,0.007292325249615483,3.099136653509904,
0.224,0.007290705497713395,3.0820052825524793,
0.225,0.007289087138863088,3.064888645263091,
0.226,0.007287470172042317,3.047786730829919,
0.227,0.007285854596230449,3.030699528458205,
0.228,0.007284240410408463,3.013627027370221,
0.229,0.007282627613558945,2.996569216805254,
0.23,0.007281016204666087,2.979526086019579,
0.231,0.007279406182715688,2.9624976242864443,
0.232,0.007277797546695147,2.945483820896044,
0.233,0.007276190295593465,2.9284846651554877,
0.234,0.007274584428401238,2.9115001463888004,
0.235,0.007272979944110661,2.8945302539368756,
0.236,0.0072713768417155215,2.8775749771574732,
0.237,0.007269775120211199,2.8606343054251844,
0.238,0.007268174778594664,2.8437082281314177,
0.239,0.007266575815864472,2.826796734684371,
0.24,0.007264978231020768,2.8098998145090155,
0.241,0.007263382023065276,2.7930174570470707,
0.242,0.0072617871910013055,2.776149651756984,
0.243,0.007260193733833744,2.7592963881139076,
0.244,0.007258601650569056,2.74245765560968,
0.245,0.007257010940215282,2.7256334437527983,
0.246,0.007255421601782035,2.7088237420684056,
0.247,0.007253833634280503,2.6920285400982618,
0.248,0.0072522470367234375,2.675247827400726,
0.249,0.007250661808125162,2.658481593550733,
0.25,0.007249077947501563,2.6417298281397787,
0.251,0.007247495453870091,2.624992520775888,
0.252,0.00724591432624976,2.6082696610835994,
0.253,0.0072443345636611384,2.591561238703947,
0.254,0.007242756165126356,2.574867243294433,
0.255,0.007241179129669096,2.558187664529012,
0.256,0.007239603456314597,2.5415224920980664,
0.257,0.007238029144089647,2.5248717157083878,
0.258,0.007236456192022584,2.508235325083153,
0.259,0.007234884599143294,2.491613309961908,
0.26,0.007233314364483206,2.4750056601005417,
0.261,0.007231745487075296,2.45841236527127,
0.262,0.007230177965954081,2.4418334152626118,
0.263,0.007228611800155614,2.4252687998793707,
0.264,0.00722704698871749,2.4087185089426106,
0.265,0.007225483530678836,2.3921825322896395,
0.266,0.007223921425080317,2.3756608597739874,
0.267,0.007222360670964125,2.3591534812653854,
0.268,0.007220801267373987,2.342660386649745,
0.269,0.007219243213355153,2.3261815658291374,
0.27,0.0072176865079544026,2.3097170087217753,
0.271,0.007216131150220037,2.29326670526199,
0.272,0.007214577139201881,2.2768306454002123,
0.273,0.00721302447395128,2.260408819102955,
0.274,0.007211473153521097,2.244001216352786,
0.275,0.007209923176965712,2.2276078271483155,
0.276,0.007208374543341019,2.2112286415041704,
